"accession_base","broad_group","proposed_active_unit","virus_name","isolate","abbrev","accession","resolved_accession","ncbi_lookup_status","output_source","candidate_role","ictv_genus","ictv_subgenus","ictv_species","available_sequence","Geographic Location","Geographic Region","Host Name","Host Taxonomic ID","host_name_datasets","host_name_record","host_name_current_override","host_name_record_or_override","host_name_current_curated","host_override_note","Virus Name","Virus Taxonomic ID"
"EF065509","Merbecovirus","MERS-like bat merbecoviruses","Pipistrellus bat coronavirus HKU5","LMH03f","Pi-BatCoV_HKU5","EF065509","EF065509.1","ok","stdout","wildlife_group_exemplar","Betacoronavirus","Merbecovirus","Betacoronavirus pipistrelli","Complete genome","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera","Pipistrellus abramus","","Pipistrellus abramus","Pipistrellus abramus","GenBank nuccore record shows /host=Pipistrellus abramus while NCBI Datasets summary returns the broader host label Chiroptera.","Pipistrellus bat coronavirus HKU5",694008
"EF065505","Merbecovirus","MERS-like bat merbecoviruses","Tylonycteris bat coronavirus HKU4","B04f","Ty-BatCoV_HKU4","EF065505","EF065505.1","ok","stdout","wildlife_group_exemplar","Betacoronavirus","Merbecovirus","Betacoronavirus tylonycteridis","Complete genome","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera","Tylonycteris pachypus","","Tylonycteris pachypus","Tylonycteris pachypus","GenBank nuccore record shows /host=Tylonycteris pachypus while NCBI Datasets summary returns the broader host label Chiroptera.","Tylonycteris bat coronavirus HKU4",694007
"KC869678","Merbecovirus","MERS-like bat merbecoviruses","NeoCoV","NeoCoV","NeoCoV","KC869678","KC869678.4","ok","stdout","supporting_named_example","Betacoronavirus","Merbecovirus","","Complete genome","South Africa","Africa","Laephotis capensis",110938,"Laephotis capensis","Neoromicia capensis","Laephotis capensis","Neoromicia capensis","Laephotis capensis","GenBank nuccore record shows /host=Neoromicia capensis; NCBI Datasets normalizes this to the current taxonomy Laephotis capensis.","Coronavirus Neoromicia/PML-PHE1/RSA/2011",1368314
"JX869059","Merbecovirus","MERS-CoV","Middle East respiratory syndrome-related coronavirus","HCoV-EMC","MERS-CoV","JX869059","JX869059.2","ok","stdout","active_unit_exemplar","Betacoronavirus","Merbecovirus","Betacoronavirus cameli","Complete genome","","","Homo sapiens",9606,"Homo sapiens",,,"Homo sapiens","Homo sapiens",,"Human betacoronavirus 2c EMC/2012",1235996
"MN996532","Sarbecovirus","SARS-like bat sarbecoviruses","Bat coronavirus RaTG13","RaTG13","RaTG13","MN996532","MN996532.2","ok","stdout","supporting_named_example","Betacoronavirus","Sarbecovirus","","Complete genome","China","Asia","Rhinolophus affinis",59477,"Rhinolophus affinis",,,"Rhinolophus affinis","Rhinolophus affinis",,"Bat coronavirus RaTG13",2709072
"AY274119","Sarbecovirus","SARS-CoV-1","severe acute respiratory syndrome coronavirus","Tor2","SARS-CoV","AY274119","AY274119.3","ok","stdout","active_unit_exemplar","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","Complete genome","Canada: Toronto","North America","Homo sapiens",9606,"Homo sapiens",,,"Homo sapiens","Homo sapiens",,"SARS coronavirus Tor2",227984
"KC545383","Merbecovirus","Merbecovirus review set","hedgehog coronavirus 1; Erinaceus europaeus coronavirus 1","2012-174/GER/2012","EriCoV1","KC545383","KC545383.1","ok","stdout","supporting_example","Betacoronavirus","Merbecovirus","Betacoronavirus erinacei","Complete genome","Germany","Europe","Erinaceus europaeus",9365,"Erinaceus europaeus",,,"Erinaceus europaeus","Erinaceus europaeus",,"Betacoronavirus Erinaceus/VMC/DEU/2012",1385427
"EF065506","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU4-2","HKU4-2","HKU4-2","EF065506","EF065506.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera",,,"Chiroptera","Chiroptera",,"Bat coronavirus HKU4-2",424360
"EF065507","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU4-3","HKU4-3","HKU4-3","EF065507","EF065507.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera",,,"Chiroptera","Chiroptera",,"Bat coronavirus HKU4-3",424361
"EF065508","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU4-4","HKU4-4","HKU4-4","EF065508","EF065508.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera",,,"Chiroptera","Chiroptera",,"Bat coronavirus HKU4-4",424362
"EF065510","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU5-2","HKU5-2","HKU5-2","EF065510","EF065510.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera",,,"Chiroptera","Chiroptera",,"Bat coronavirus HKU5-2",424364
"EF065511","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU5-3","HKU5-3","HKU5-3","EF065511","EF065511.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera",,,"Chiroptera","Chiroptera",,"Bat coronavirus HKU5-3",424365
"EF065512","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus HKU5-5","HKU5-5","HKU5-5","EF065512","EF065512.1","ok","stdout","supporting_tree_example","Betacoronavirus","Merbecovirus","","GenBank accession provided","China: Guangdong province","Asia","Chiroptera",9397,"Chiroptera",,,"Chiroptera","Chiroptera",,"Bat coronavirus HKU5-5",424366
"KX574227","Merbecovirus","MERS-like bat merbecoviruses","Bat coronavirus isolate PREDICT/PDF-2180","PDF-2180","PDF-2180","KX574227","KX574227.1","ok","stdout","supporting_named_example","Betacoronavirus","Merbecovirus","","Complete genome","Uganda","Africa","Pipistrellus",27671,"Pipistrellus",,,"Pipistrellus","Pipistrellus",,"Bat coronavirus",1508220
