analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,include_as_analysis_unit,split_group,source,source_pathogen_name,source_taxid,source_family,source_type,match_type,match_distance,alias_type,alias_notes,alias_review_flag,match_status
master_13,13,Hendra,Hendra virus disease,Hendra henipavirus,species,yes,hendra,clover,hendra henipavirus,63330,paramyxoviridae,virus,exact,0,,,,accepted_candidate
master_13,13,Hendra,Hendra virus disease,Hendra henipavirus,species,yes,hendra,virion,henipavirus hendraense,3052223,paramyxoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_31,31,Japanese encephalitis,Japanese encephalitis,Japanese encephalitis virus,species,yes,japanese_encephalitis,clover,japanese encephalitis virus,11072,flaviviridae,virus,exact,0,,,,accepted_candidate
master_31,31,Japanese encephalitis,Japanese encephalitis,Japanese encephalitis virus,species,yes,japanese_encephalitis,virion,orthoflavivirus japonicum,11072,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_31,31,Japanese encephalitis,Japanese encephalitis,Japanese encephalitis virus,species,yes,japanese_encephalitis,virion,orthoflavivirus japonicum,3048158,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_32,32,Chagas (acute),Chagas disease,Trypanosoma cruzi,species,yes,chagas_disease,clover,trypanosoma cruzi,5693,trypanosomatidae,protozoa,exact,0,,,,accepted_candidate
master_33,33,Melioidosis,Melioidosis,Burkholderia pseudomallei,species,yes,melioidosis,clover,burkholderia pseudomallei,28450,burkholderiaceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_34,34,Brazilian spotted fever,Brazilian spotted fever,Rickettsia rickettsii,species,yes,brazilian_spotted_fever,clover,rickettsia rickettsii,783,rickettsiaceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_35,35,La Crosse encephalitis,La Crosse encephalitis,La Crosse virus,species,yes,la_crosse_encephalitis,virion,orthobunyavirus lacrosseense,3052409,peribunyaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_36,36,Powassan,Powassan virus disease,Powassan virus,species,yes,powassan_virus_disease,clover,powassan virus,11083,flaviviridae,virus,exact,0,,,,accepted_candidate
