Pathogen_raw,PathogenTaxID,Disease_name_raw,Pathogen_canonical,Disease_name_canonical,canonicalization_status,Family_canonical,PHEIC_risk_canonical,previous_name_canonical,msl39_viral_name_canonical,is_zoonotic,zoonotic_status
klebsiella pneumoniae,573,Klebsiella infection (pneumonia sepsis),Klebsiella pneumoniae,Klebsiella infection (pneumonia sepsis),who_alias_match,Bacteria,High,,,FALSE,not_zoonotic_or_out_of_scope
salmonella enterica,28901,Non-typhoidal salmonellosis,Salmonella enterica non typhoidal serovars,Non-typhoidal salmonellosis,manual_specificity_map,Bacteria,High,,,FALSE,not_zoonotic_or_out_of_scope
shigella dysenteriae,622,Shigellosis (bacillary dysentery),Shigella dysenteriae serotype 1,Shigellosis (bacillary dysentery),manual_specificity_map,Bacteria,High,,,FALSE,not_zoonotic_or_out_of_scope
vibrio cholerae,666,Cholera,Vibrio cholerae serogroup 0139,Cholera,manual_specificity_map,Bacteria,High,,,FALSE,not_zoonotic_or_out_of_scope
yersinia pestis,632,Plague,Yersinia pestis,Plague,who_alias_match,Bacteria,High,,,TRUE,zoonotic
Mammarenavirus juninense,2169991,Argentine hemorrhagic fever,Mammarenavirus juninense,Argentine hemorrhagic fever,identity,Arenaviridae,High,Junin virus,Mammarenavirus juninense,TRUE,zoonotic
Mammarenavirus lassaense,3052310,Lassa fever,Mammarenavirus lassaense,Lassa fever,identity,Arenaviridae,High,Lassa Fever virus,Mammarenavirus lassaense,TRUE,zoonotic
Mammarenavirus lujoense,3052314,Lujo hemorrhagic fever,Mammarenavirus lujoense,Lujo hemorrhagic fever,identity,Arenaviridae,High,Lujo virus,Mammarenavirus lujoense,TRUE,zoonotic
Orthobornavirus bornaense,1714619,Borna disease (encephalitis),Orthobornavirus bornaense,Borna disease (encephalitis),identity,Bornaviridae,Low,Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,TRUE,zoonotic
MERS-like bat merbecoviruses,1335626,Middle East Respiratory Syndrome (MERS),MERS-like bat merbecoviruses,Middle East Respiratory Syndrome (MERS),identity,Coronaviridae,High,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,TRUE,zoonotic
MERS-like bat merbecoviruses,3433633,Middle East Respiratory Syndrome (MERS),MERS-like bat merbecoviruses,Middle East Respiratory Syndrome (MERS),identity,Coronaviridae,High,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,TRUE,zoonotic
Middle East respiratory syndrome-related coronavirus (MERS-CoV),1335626,Middle East Respiratory Syndrome (MERS),Middle East respiratory syndrome-related coronavirus (MERS-CoV),Middle East Respiratory Syndrome (MERS),identity,Coronaviridae,High,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,TRUE,zoonotic
Middle East respiratory syndrome-related coronavirus (MERS-CoV),3433633,Middle East Respiratory Syndrome (MERS),Middle East respiratory syndrome-related coronavirus (MERS-CoV),Middle East Respiratory Syndrome (MERS),identity,Coronaviridae,High,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,TRUE,zoonotic
SARS-like bat sarbecoviruses,694009,Severe Acute Respiratory Syndrome (SARS); COVID-19,SARS-like bat sarbecoviruses,Severe Acute Respiratory Syndrome (SARS); COVID-19,identity,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
SARS-like bat sarbecoviruses,3418604,Severe Acute Respiratory Syndrome (SARS); COVID-19,SARS-like bat sarbecoviruses,Severe Acute Respiratory Syndrome (SARS); COVID-19,identity,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),694009,Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,identity,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),3418604,Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,identity,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Severe acute respiratory syndrome-related coronavirus (SARS-CoV-1),694009,Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe acute respiratory syndrome-related coronavirus (SARS-CoV-1),Severe Acute Respiratory Syndrome (SARS); COVID-19,identity,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Severe acute respiratory syndrome-related coronavirus (SARS-CoV-1),3418604,Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe acute respiratory syndrome-related coronavirus (SARS-CoV-1),Severe Acute Respiratory Syndrome (SARS); COVID-19,identity,Coronaviridae,High,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,TRUE,zoonotic
Orthoebolavirus zairense,186538,Ebola virus disease,Orthoebolavirus zairense,Ebola virus disease,identity,Filoviridae,High,Ebola virus,Orthoebolavirus zairense,TRUE,zoonotic
Orthoebolavirus zairense,3052462,Ebola virus disease,Orthoebolavirus zairense,Ebola virus disease,identity,Filoviridae,High,Ebola virus,Orthoebolavirus zairense,TRUE,zoonotic
Orthomarburgvirus marburgense,3052505,Marburg virus disease,Orthomarburgvirus marburgense,Marburg virus disease,identity,Filoviridae,High,Marburg virus,Orthomarburgvirus marburgense,TRUE,zoonotic
Orthoebolavirus sudanense,186540,Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),identity,Filoviridae,High,Sudan ebolavirus,Orthoebolavirus sudanense,TRUE,zoonotic
Orthoebolavirus sudanense,3052460,Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),identity,Filoviridae,High,Sudan ebolavirus,Orthoebolavirus sudanense,TRUE,zoonotic
Orthoflavivirus denguei,12637,Dengue,Orthoflavivirus denguei,Dengue,identity,Flaviviridae,High,Dengue virus,Orthoflavivirus denguei,TRUE,zoonotic
Orthoflavivirus denguei,3052464,Dengue,Orthoflavivirus denguei,Dengue,identity,Flaviviridae,High,Dengue virus,Orthoflavivirus denguei,TRUE,zoonotic
Orthoflavivirus encephalitidis,11084,Tick-borne encephalitis,Orthoflavivirus encephalitidis,Tick-borne encephalitis,identity,Flaviviridae,High,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,TRUE,zoonotic
Orthoflavivirus encephalitidis,3052465,Tick-borne encephalitis,Orthoflavivirus encephalitidis,Tick-borne encephalitis,identity,Flaviviridae,High,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,TRUE,zoonotic
Orthoflavivirus nilense,11082,West Nile fever,Orthoflavivirus nilense,West Nile fever,identity,Flaviviridae,High,West Nile virus,Orthoflavivirus nilense,TRUE,zoonotic
Orthoflavivirus nilense,3048448,West Nile fever,Orthoflavivirus nilense,West Nile fever,identity,Flaviviridae,High,West Nile virus,Orthoflavivirus nilense,TRUE,zoonotic
Orthoflavivirus flavi,11089,Yellow fever,Orthoflavivirus flavi,Yellow fever,identity,Flaviviridae,High,Yellow fever virus,Orthoflavivirus flavi,TRUE,zoonotic
Orthoflavivirus flavi,3046277,Yellow fever,Orthoflavivirus flavi,Yellow fever,identity,Flaviviridae,High,Yellow fever virus,Orthoflavivirus flavi,TRUE,zoonotic
Orthoflavivirus zikaense,3048459,Zika virus disease,Orthoflavivirus zikaense,Zika virus disease,identity,Flaviviridae,High,Zika virus,Orthoflavivirus zikaense,TRUE,zoonotic
Orthoflavivirus zikaense,64320,Zika virus disease,Orthoflavivirus zikaense,Zika virus disease,identity,Flaviviridae,High,Zika virus,Orthoflavivirus zikaense,TRUE,zoonotic
Orthohantavirus sinnombreense,3052499,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,identity,Hantaviridae,High,Sinnombre virus,Orthohantavirus sinnombreense,TRUE,zoonotic
Orthohantavirus sinnombreense,44755,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,identity,Hantaviridae,High,Sinnombre virus,Orthohantavirus sinnombreense,TRUE,zoonotic
Orthohantavirus hantanense,3052480,Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),identity,Hantaviridae,High,Hantaan orthohantavirus,Orthohantavirus hantanense,TRUE,zoonotic
Paslahepevirus balayani genotype 3,1678143,Hepatitis E,Paslahepevirus balayani genotype 3,Hepatitis E,identity,Hepeviridae,Low,Hepatitis E virus,Paslahepevirus balayani,TRUE,zoonotic
Orthonairovirus haemorrhagiae,3052518,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,identity,Nairoviridae,High,,,TRUE,zoonotic
Alphainfluenzavirus influenzae (H5N1),11320,Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae (H5N1),Influenza (H5N1 avian influenza),identity,Orthomyxoviridae,High,Influenza A,Alphainfluenzavirus influenzae,TRUE,zoonotic
Alphainfluenzavirus influenzae (H5N1),2955291,Influenza (H5N1 avian influenza),Alphainfluenzavirus influenzae (H5N1),Influenza (H5N1 avian influenza),identity,Orthomyxoviridae,High,Influenza A,Alphainfluenzavirus influenzae,TRUE,zoonotic
Alphainfluenzavirus influenzae (H7N9),11320,Influenza (H7N9 avian influenza),Alphainfluenzavirus influenzae (H7N9),Influenza (H7N9 avian influenza),identity,Orthomyxoviridae,High,Influenza A,Alphainfluenzavirus influenzae,TRUE,zoonotic
Alphainfluenzavirus influenzae (H7N9),2955291,Influenza (H7N9 avian influenza),Alphainfluenzavirus influenzae (H7N9),Influenza (H7N9 avian influenza),identity,Orthomyxoviridae,High,Influenza A,Alphainfluenzavirus influenzae,TRUE,zoonotic
Henipavirus nipahense,3052225,Nipah virus disease,Henipavirus nipahense,Nipah virus disease,identity,Paramyxoviridae,High,Nipah virus,Henipavirus nipahense,TRUE,zoonotic
Orthobunyavirus oropoucheense,3052429,Oropouche fever,Orthobunyavirus oropoucheense,Oropouche fever,identity,Peribunyaviridae,Low,Oropouche virus,Orthobunyavirus oropoucheense,TRUE,zoonotic
Phlebovirus riftense,3052676,Rift Valley fever,Phlebovirus riftense,Rift Valley fever,identity,Phenuiviridae,High,Rift Valley Fever virus,Phlebovirus riftense,TRUE,zoonotic
Bandavirus dabieense,1933190,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),identity,Phenuiviridae,High,SFTS virus,Bandavirus dabieense,TRUE,zoonotic
Bandavirus dabieense,2748958,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),identity,Phenuiviridae,High,SFTS virus,Bandavirus dabieense,TRUE,zoonotic
Orthopoxvirus monkeypox,10244,Mpox (Monkeypox),Orthopoxvirus monkeypox,Mpox (Monkeypox),identity,Poxviridae,High,Monkeypox virus,Orthopoxvirus monkeypox,TRUE,zoonotic
Orthopoxvirus monkeypox,3431483,Mpox (Monkeypox),Orthopoxvirus monkeypox,Mpox (Monkeypox),identity,Poxviridae,High,Monkeypox virus,Orthopoxvirus monkeypox,TRUE,zoonotic
Vesicular stomatitis Indiana virus,11276,Vesicular stomatitis,Vesicular stomatitis Indiana virus,Vesicular stomatitis,identity,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,TRUE,zoonotic
Alphavirus chikungunya,3426298,Chikungunya fever,Alphavirus chikungunya,Chikungunya fever,identity,Togaviridae,High,Chikungunya virus,Alphavirus chikungunya,TRUE,zoonotic
Alphavirus chikungunya,37124,Chikungunya fever,Alphavirus chikungunya,Chikungunya fever,identity,Togaviridae,High,Chikungunya virus,Alphavirus chikungunya,TRUE,zoonotic
Alphavirus venezuelan,11036,Venezuelan equine encephalitis,Alphavirus venezuelan,Venezuelan equine encephalitis,identity,Togaviridae,High,Venezuelan equine encephalitis virus,Alphavirus venezuelan,TRUE,zoonotic
