candidate_query,total_row_count,source_fields,example_raw_labels,example_reason_flags,taxize_status,taxize_note,matched_name,canonical_form,current_name_string,resolved_name,score,data_source_title,classification_path,resolved_matches_who,resolved_who_host,candidate_query_key,resolved_name_key
Neotoma fuscipes,570,host_scientific_name; verbatim_host_name,Neotoma fuscipes | Neotoma fuscipes_Baird 1857,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Neotoma (Neotoma) fuscipes Baird, 1857",Neotoma fuscipes,Neotoma fuscipes,Neotoma fuscipes,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,neotoma fuscipes,neotoma fuscipes
Lepus californicus,513,host_scientific_name; verbatim_host_name,Lepus californicus | Lepus californicus californicus | Lepus californicus_Gray 1837,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Lepus californicus Gray, 1837",Lepus californicus,Lepus californicus,Lepus californicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lepus californicus,lepus californicus
Taurotragus oryx,450,host_scientific_name; verbatim_host_name,Taurotragus oryx | Taurotragus oryx_Pallas 1766,needs_binomialization; verbatim_binomial_candidate,matched,,"Taurotragus oryx (Pallas, 1766)",Taurotragus oryx,Taurotragus oryx,Taurotragus oryx,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,taurotragus oryx,taurotragus oryx
Peromyscus gossypinus,442,host_scientific_name; verbatim_host_name,Peromyscus gossypinus | Peromyscus gossypinus_Le Conte 1853,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Peromyscus gossypinus (Le Conte, 1853)",Peromyscus gossypinus,Peromyscus gossypinus,Peromyscus gossypinus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,peromyscus gossypinus,peromyscus gossypinus
Felis silvestris,441,host_scientific_name,Felis silvestris | Felis silvestris cafra_Desmarest 1822 | Felis silvestris lybica_Forster 1780 | Felis silvestris ocreata_Gmelin 1791 | Felis silvestris ugandae_Schwann 1904,needs_binomialization; needs_manual_synonym_map,matched,,"Felis silvestris Schreber, 1777",Felis silvestris,Felis silvestris,Felis silvestris,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,felis silvestris,felis silvestris
Hyaena brunnea,387,host_scientific_name; verbatim_host_name,Hyaena brunnea | Hyaena brunnea_Thunberg 1820,needs_binomialization; verbatim_binomial_candidate,matched,,"Hyaena brunnea Thunberg, 1820",Hyaena brunnea,Parahyaena brunnea,Parahyaena brunnea,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,hyaena brunnea,parahyaena brunnea
Ovis canadensis,348,host_scientific_name; verbatim_host_name,Ovis canadensis | Ovis canadensis_Shaw 1804,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Ovis canadensis Shaw, 1804",Ovis canadensis,Ovis canadensis,Ovis canadensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,ovis canadensis,ovis canadensis
Bandicota savilei,338,host_scientific_name; verbatim_host_name,Bandicota savilei,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Bandicota savilei Thomas, 1916",Bandicota savilei,Bandicota savilei,Bandicota savilei,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,bandicota savilei,bandicota savilei
Sturnella magna,336,host_scientific_name; verbatim_host_name,Sturnella magna,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Sturnella magna (Linnaeus, 1758)",Sturnella magna,Sturnella magna,Sturnella magna,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,sturnella magna,sturnella magna
Spermophilus richardsonii,334,host_scientific_name,Spermophilus richardsonii_Sabine 1822,needs_binomialization,matched,,"Spermophilus richardsonii (Sabine, 1822)",Spermophilus richardsonii,Urocitellus richardsonii,Urocitellus richardsonii,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus richardsonii,urocitellus richardsonii
Thryothorus ludovicianus,308,host_scientific_name; verbatim_host_name,Thryothorus ludovicianus,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Thryothorus ludovicianus (Latham, 1790)",Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,thryothorus ludovicianus,thryothorus ludovicianus
Canis latrans,291,host_scientific_name; verbatim_host_name,Canis latrans | Canis latrans_Say 1823,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Canis latrans Say, 1823",Canis latrans,Canis latrans,Canis latrans,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,canis latrans,canis latrans
Xerus inauris,289,host_scientific_name; verbatim_host_name,Xerus inauris | Xerus inauris_Zimmermann 1780,needs_binomialization; verbatim_binomial_candidate,matched,,"Xerus (Geosciurus) inauris (Zimmermann, 1780)",Xerus inauris,Xerus inauris,Xerus inauris,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,xerus inauris,xerus inauris
Lepus capensis,275,host_scientific_name; verbatim_host_name,Lepus capensis | Lepus capensis aegyptius_Desmarest 1822 | Lepus capensis capensis_Linnaeus 1758 | Lepus capensis_Linnaeus 1758,needs_binomialization; verbatim_binomial_candidate,matched,,"Lepus capensis Linnaeus, 1758",Lepus capensis,Lepus capensis,Lepus capensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lepus capensis,lepus capensis
Spermophilus beecheyi,230,host_scientific_name; verbatim_host_name,Spermophilus beecheyi | Spermophilus beecheyi beecheyi_Richardson 1829 | Spermophilus beecheyi douglasii_Richardson 1829 | Spermophilus beecheyi fisheri_Merriam 1893 | Spermophilus beecheyi_Richardson 1829,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Spermophilus beecheyi (Richardson, 1829)",Spermophilus beecheyi,Otospermophilus beecheyi,Otospermophilus beecheyi,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus beecheyi,otospermophilus beecheyi
