matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,interaction_type_examples,source_dataset_examples,country_examples,associated_pathogen_examples,associated_parasite_examples,record_count
Accipiter cooperii,261198,aves,accipitriformes,accipitridae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Unites States,,,3
Accipiter cooperii,261198,aves,accipitriformes,accipitridae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,blood_meal,BloodMealMap,Unites States,,,2
Accipiter cooperii,261198,aves,accipitriformes,accipitridae,Culex stigmatosoma,FALSE,Culex stigmatosoma,blood_meal,BloodMealMap,Unites States,,,2
Accipiter cooperii,261198,aves,accipitriformes,accipitridae,Culex tarsalis,FALSE,Culex tarsalis,blood_meal,BloodMealMap,Unites States,,,3
Accipiter cooperii,261198,aves,accipitriformes,accipitridae,Culiseta morsitans,FALSE,Culiseta morsitans,blood_meal,BloodMealMap,Unites States,,,1
Accipiter striatus,56330,aves,accipitriformes,accipitridae,Echidnophaga gallinacea,FALSE,Echidnophaga gallinacea,on_host_occurrence,FleaMap,United States,,,1
Acinonyx jubatus,32536,mammalia,carnivora,felidae,Amblyomma lepidum,FALSE,Amblyomma lepidum,on_host_occurrence,TickMap,Sudan,,,1
Acinonyx jubatus,32536,mammalia,carnivora,felidae,Amblyomma variegatum,FALSE,Amblyomma variegatum,on_host_occurrence,TickMap,Malawi,,,1
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Aedes cinereus,FALSE,Aedes cinereus,blood_meal,BloodMealMap,Unites States,,,1
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Coquillettidia perturbans,FALSE,Coquillettidia perturbans,blood_meal,BloodMealMap,Unites States,,,1
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Unites States,,,1
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Culex restuans,FALSE,Culex restuans,blood_meal,BloodMealMap,Unites States,,,1
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Culex stigmatosoma,FALSE,Culex stigmatosoma,blood_meal,BloodMealMap,Unites States,,,1
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Culex tarsalis,FALSE,Culex tarsalis,blood_meal,BloodMealMap,Unites States,,,3
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Culex thriambus,FALSE,Culex thriambus,blood_meal,BloodMealMap,Unites States,,,1
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Culiseta melanura,FALSE,Culiseta melanura,blood_meal,BloodMealMap,Unites States,,,2
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Haemaphysalis chordeilis,FALSE,Haemaphysalis chordeilis,on_host_occurrence,TickMap,United States of America,,,4
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Haemaphysalis leporispalustris,FALSE,Haemaphysalis leporispalustris,on_host_occurrence,TickMap,United States of America,,B. burgdorferi sensu stricto; A. phagocytophilum,24
Agelaius phoeniceus,39638,aves,passeriformes,icteridae,Ixodes scapularis,FALSE,Ixodes scapularis,on_host_occurrence,TickMap,United States of America,,,8
Ailurus fulgens,9649,mammalia,carnivora,ailuridae,Aedes vexans,FALSE,Aedes vexans,blood_meal,BloodMealMap,Unites States,,,1
Aix sponsa,8833,aves,anseriformes,anatidae,Culex erraticus,FALSE,Culex erraticus,blood_meal,BloodMealMap,Unites States,,,1
Aix sponsa,8833,aves,anseriformes,anatidae,Culex peccator,FALSE,Culex peccator,blood_meal,BloodMealMap,Unites States,,,1
Aix sponsa,8833,aves,anseriformes,anatidae,Culiseta melanura,FALSE,Culiseta melanura,blood_meal,BloodMealMap,Unites States,,,1
Alces alces,9852,mammalia,artiodactyla,cervidae,Dermacentor albipictus,FALSE,Dermacentor albipictus,on_host_occurrence,TickMap,United States of America,,,83
Alectoris barbara,40177,aves,galliformes,phasianidae,Hyalomma marginatum,FALSE,Hyalomma marginatum,on_host_occurrence,TickMap,Morocco,,,1
Alectoris barbara,40177,aves,galliformes,phasianidae,Ixodes festai,FALSE,Ixodes festai,on_host_occurrence,TickMap,Morocco,,,2
Alectoris barbara,40177,aves,galliformes,phasianidae,Ixodes ricinus,FALSE,Ixodes ricinus,on_host_occurrence,TickMap,Morocco,,,1
Alligator mississippiensis,8496,reptilia,crocodylia,alligatoridae,Culex atratus,FALSE,Culex atratus,blood_meal,BloodMealMap,Unites States,,,1
Alligator mississippiensis,8496,reptilia,crocodylia,alligatoridae,Culex iolambdis,FALSE,Culex iolambdis,blood_meal,BloodMealMap,Unites States,,,1
Alligator mississippiensis,8496,reptilia,crocodylia,alligatoridae,Culex peccator,FALSE,Culex peccator,blood_meal,BloodMealMap,Unites States,,,5
Alligator mississippiensis,8496,reptilia,crocodylia,alligatoridae,Culex pilosus,FALSE,Culex pilosus,blood_meal,BloodMealMap,Unites States,,,1
Anas acuta,28680,aves,anseriformes,anatidae,Culex tarsalis,FALSE,Culex tarsalis,blood_meal,BloodMealMap,Unites States,,,1
Anas platyrhynchos,8839,aves,anseriformes,anatidae,Aedes vexans,FALSE,Aedes vexans,blood_meal,BloodMealMap,Unites States,,,1
Anas platyrhynchos,8839,aves,anseriformes,anatidae,Culex modestus,FALSE,Culex modestus,blood_meal,BloodMealMap,Czechia,,,1
Anas platyrhynchos,8839,aves,anseriformes,anatidae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Czechia; Unites States,,,2
Anas platyrhynchos,8839,aves,anseriformes,anatidae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,blood_meal,BloodMealMap,Unites States,,,1
Anas platyrhynchos,8839,aves,anseriformes,anatidae,Culex restuans,FALSE,Culex restuans,blood_meal,BloodMealMap,Unites States,,,1
Anas platyrhynchos,8839,aves,anseriformes,anatidae,Culex tarsalis,FALSE,Culex tarsalis,blood_meal,BloodMealMap,Unites States,,,2
Anas platyrhynchos,8839,aves,anseriformes,anatidae,Culiseta melanura,FALSE,Culiseta melanura,blood_meal,BloodMealMap,Unites States,,,1
Anser albifrons,50365,aves,anseriformes,anatidae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Czechia,,,1
Anser anser,8843,aves,anseriformes,anatidae,Aedes vexans,FALSE,Aedes vexans,blood_meal,BloodMealMap,Unites States,,,1
Anser anser,8843,aves,anseriformes,anatidae,Armigeres subalbatus,FALSE,Armigeres subalbatus,blood_meal,BloodMealMap,Japan,,,1
Anser anser,8843,aves,anseriformes,anatidae,Culex annulirostris,FALSE,Culex annulirostris,blood_meal,BloodMealMap,Australia,,,1
Anser anser,8843,aves,anseriformes,anatidae,Culex modestus,FALSE,Culex modestus,blood_meal,BloodMealMap,Czechia,,,1
Anser anser,8843,aves,anseriformes,anatidae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Czechia,,,1
Anser anser,8843,aves,anseriformes,anatidae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,blood_meal,BloodMealMap,Unites States,,,1
