species,model_file_count,model_paths,has_top_level_model,has_nested_model,nested_contexts
Acanthophis antarcticus,1,Acanthophis antarcticus/Acanthophis antarcticus.rds,TRUE,FALSE,
Acinonyx jubatus,1,Acinonyx jubatus/Acinonyx jubatus.rds,TRUE,FALSE,
Ailurus fulgens,1,Ailurus fulgens/Ailurus fulgens.rds,TRUE,FALSE,
Akodon azarae,1,Akodon azarae/Akodon azarae.rds,TRUE,FALSE,
Alces alces,1,Alces alces/Alces alces.rds,TRUE,FALSE,
Allactaga sibirica,1,Allactaga sibirica/Allactaga sibirica.rds,TRUE,FALSE,
Alouatta belzebul,1,Alouatta belzebul/Alouatta belzebul.rds,TRUE,FALSE,
Alouatta caraya,1,Alouatta caraya/Alouatta caraya.rds,TRUE,FALSE,
Alouatta guariba,1,Alouatta guariba/Alouatta guariba.rds,TRUE,FALSE,
Alouatta pigra,1,Alouatta pigra/Alouatta pigra.rds,TRUE,FALSE,
Alouatta sara,1,Alouatta sara/Alouatta sara.rds,TRUE,FALSE,
Alouatta seniculus,1,Alouatta seniculus/Alouatta seniculus.rds,TRUE,FALSE,
Amphibolurus muricatus,1,Amphibolurus muricatus/Amphibolurus muricatus.rds,TRUE,FALSE,
Anastoechus hessei,1,Anastoechus hessei/Anastoechus hessei.rds,TRUE,FALSE,
Anolis carolinensis,1,Anolis carolinensis/Anolis carolinensis.rds,TRUE,FALSE,
Antaresia childreni,1,Antaresia childreni/Antaresia childreni.rds,TRUE,FALSE,
Antaresia maculosa,1,Antaresia maculosa/Antaresia maculosa.rds,TRUE,FALSE,
Antidorcas marsupialis,1,Antidorcas marsupialis/Antidorcas marsupialis.rds,TRUE,FALSE,
Aotus azarae,1,Aotus azarae/Aotus azarae.rds,TRUE,FALSE,
Apodemus agrarius,1,Apodemus agrarius/Apodemus agrarius.rds,TRUE,FALSE,
Apodemus flavicollis,1,Apodemus flavicollis/Apodemus flavicollis.rds,TRUE,FALSE,
Apodemus peninsulae,1,Apodemus peninsulae/Apodemus peninsulae.rds,TRUE,FALSE,
Apodemus sylvaticus,1,Apodemus sylvaticus/Apodemus sylvaticus.rds,TRUE,FALSE,
Arctocephalus australis,1,Arctocephalus australis/Arctocephalus australis.rds,TRUE,FALSE,
Arctocephalus gazella,1,Arctocephalus gazella/Arctocephalus gazella.rds,TRUE,FALSE,
Artibeus jamaicensis,1,Artibeus jamaicensis/Artibeus jamaicensis.rds,TRUE,FALSE,
Artibeus lituratus,1,Artibeus lituratus/Artibeus lituratus.rds,TRUE,FALSE,
Artibeus obscurus,1,Artibeus obscurus/Artibeus obscurus.rds,TRUE,FALSE,
Artibeus planirostris,1,Artibeus planirostris/Artibeus planirostris.rds,TRUE,FALSE,
Arvicanthis niloticus,1,Arvicanthis niloticus/Arvicanthis niloticus.rds,TRUE,FALSE,
Aselliscus stoliczkanus,1,Aselliscus stoliczkanus/Aselliscus stoliczkanus.rds,TRUE,FALSE,
Atelerix albiventris,1,Atelerix albiventris/Atelerix albiventris.rds,TRUE,FALSE,
Ateles fusciceps,1,Ateles fusciceps/Ateles fusciceps.rds,TRUE,FALSE,
Ateles geoffroyi,1,Ateles geoffroyi/Ateles geoffroyi.rds,TRUE,FALSE,
Austrelaps superbus,1,Austrelaps superbus/Austrelaps superbus.rds,TRUE,FALSE,
Balaenoptera acutorostrata,1,Balaenoptera acutorostrata/Balaenoptera acutorostrata.rds,TRUE,FALSE,
Bandicota indica,1,Bandicota indica/Bandicota indica.rds,TRUE,FALSE,
Bellatorias frerei,1,Bellatorias frerei/Bellatorias frerei.rds,TRUE,FALSE,
Bison bison,1,Bison bison/Bison bison.rds,TRUE,FALSE,
Bitis nasicornis,1,Bitis nasicornis/Bitis nasicornis.rds,TRUE,FALSE,
Boa constrictor,1,Boa constrictor/Boa constrictor.rds,TRUE,FALSE,
Boiga irregularis,1,Boiga irregularis/Boiga irregularis.rds,TRUE,FALSE,
Bos frontalis,1,Bos frontalis/Bos frontalis.rds,TRUE,FALSE,
Bos grunniens,1,Bos grunniens/Bos grunniens.rds,TRUE,FALSE,
Bos taurus,2,Bos taurus/Bos taurus.rds; nipah/Bos taurus/Bos taurus.rds,TRUE,TRUE,nipah
Bothriechis schlegelii,1,Bothriechis schlegelii/Bothriechis schlegelii.rds,TRUE,FALSE,
Bradypus tridactylus,1,Bradypus tridactylus/Bradypus tridactylus.rds,TRUE,FALSE,
Bubalus bubalis,1,Bubalus bubalis/Bubalus bubalis.rds,TRUE,FALSE,
Callicebus nigrifrons,1,Callicebus nigrifrons/Callicebus nigrifrons.rds,TRUE,FALSE,
Callicebus personatus,1,Callicebus personatus/Callicebus personatus.rds,TRUE,FALSE,
Callithrix aurita,1,Callithrix aurita/Callithrix aurita.rds,TRUE,FALSE,
Callithrix geoffroyi,1,Callithrix geoffroyi/Callithrix geoffroyi.rds,TRUE,FALSE,
Callithrix jacchus,1,Callithrix jacchus/Callithrix jacchus.rds,TRUE,FALSE,
Callithrix penicillata,1,Callithrix penicillata/Callithrix penicillata.rds,TRUE,FALSE,
Caluromys philander,1,Caluromys philander/Caluromys philander.rds,TRUE,FALSE,
Camelus bactrianus,1,Camelus bactrianus/Camelus bactrianus.rds,TRUE,FALSE,
Camelus dromedarius,1,Camelus dromedarius/Camelus dromedarius.rds,TRUE,FALSE,
Canis aureus,1,Canis aureus/Canis aureus.rds,TRUE,FALSE,
Canis latrans,1,Canis latrans/Canis latrans.rds,TRUE,FALSE,
Canis lupus,2,Canis lupus/Canis lupus.rds; nipah/Canis lupus/Canis lupus.rds,TRUE,TRUE,nipah
Canis mesomelas,1,Canis mesomelas/Canis mesomelas.rds,TRUE,FALSE,
Capra hircus,2,Capra hircus/Capra hircus.rds; nipah/Capra hircus/Capra hircus.rds,TRUE,TRUE,nipah
Capreolus capreolus,1,Capreolus capreolus/Capreolus capreolus.rds,TRUE,FALSE,
Capreolus pygargus,1,Capreolus pygargus/Capreolus pygargus.rds,TRUE,FALSE,
Carollia brevicauda,1,Carollia brevicauda/Carollia brevicauda.rds,TRUE,FALSE,
Carollia perspicillata,1,Carollia perspicillata/Carollia perspicillata.rds,TRUE,FALSE,
Castor fiber,1,Castor fiber/Castor fiber.rds,TRUE,FALSE,
Cavia porcellus,1,Cavia porcellus/Cavia porcellus.rds,TRUE,FALSE,
Cephalophus callipygus,1,Cephalophus callipygus/Cephalophus callipygus.rds,TRUE,FALSE,
Cephalorhynchus eutropia,1,Cephalorhynchus eutropia/Cephalorhynchus eutropia.rds,TRUE,FALSE,
Ceratotherium simum,1,Ceratotherium simum/Ceratotherium simum.rds,TRUE,FALSE,
Cercocebus atys,1,Cercocebus atys/Cercocebus atys.rds,TRUE,FALSE,
Cercopithecus ascanius,1,Cercopithecus ascanius/Cercopithecus ascanius.rds,TRUE,FALSE,
Cercopithecus mitis,1,Cercopithecus mitis/Cercopithecus mitis.rds,TRUE,FALSE,
Cerdocyon thous,1,Cerdocyon thous/Cerdocyon thous.rds,TRUE,FALSE,
Cervus elaphus,1,Cervus elaphus/Cervus elaphus.rds,TRUE,FALSE,
Cervus nippon,1,Cervus nippon/Cervus nippon.rds,TRUE,FALSE,
Chaetophractus vellerosus,1,Chaetophractus vellerosus/Chaetophractus vellerosus.rds,TRUE,FALSE,
Chlamydosaurus kingii,1,Chlamydosaurus kingii/Chlamydosaurus kingii.rds,TRUE,FALSE,
Chlorocebus aethiops,1,Chlorocebus aethiops/Chlorocebus aethiops.rds,TRUE,FALSE,
Chlorocebus sabaeus,1,Chlorocebus sabaeus/Chlorocebus sabaeus.rds,TRUE,FALSE,
Chrysocyon brachyurus,1,Chrysocyon brachyurus/Chrysocyon brachyurus.rds,TRUE,FALSE,
Civettictis civetta,1,Civettictis civetta/Civettictis civetta.rds,TRUE,FALSE,
Clethrionomys glareolus,1,Clethrionomys glareolus/Clethrionomys glareolus.rds,TRUE,FALSE,
Clethrionomys rutilus,1,Clethrionomys rutilus/Clethrionomys rutilus.rds,TRUE,FALSE,
Colobus guereza,1,Colobus guereza/Colobus guereza.rds,TRUE,FALSE,
Conus erythraeensis,1,Conus erythraeensis/Conus erythraeensis.rds,TRUE,FALSE,
Cricetomys gambianus,1,Cricetomys gambianus/Cricetomys gambianus.rds,TRUE,FALSE,
Crocidura leucodon,1,Crocidura leucodon/Crocidura leucodon.rds,TRUE,FALSE,
Crocidura russula,1,Crocidura russula/Crocidura russula.rds,TRUE,FALSE,
Crocuta crocuta,1,Crocuta crocuta/Crocuta crocuta.rds,TRUE,FALSE,
Crotalus durissus,1,Crotalus durissus/Crotalus durissus.rds,TRUE,FALSE,
Crotalus willardi,1,Crotalus willardi/Crotalus willardi.rds,TRUE,FALSE,
Cyclura cornuta,1,Cyclura cornuta/Cyclura cornuta.rds,TRUE,FALSE,
Cynomys ludovicianus,1,Cynomys ludovicianus/Cynomys ludovicianus.rds,TRUE,FALSE,
Cynopterus brachyotis,2,Cynopterus brachyotis/Cynopterus brachyotis.rds; nipah/wild/Cynopterus brachyotis/Cynopterus brachyotis.rds,TRUE,TRUE,nipah/wild
Delphinus delphis,1,Delphinus delphis/Delphinus delphis.rds,TRUE,FALSE,
Dendrelaphis punctulatus,1,Dendrelaphis punctulatus/Dendrelaphis punctulatus.rds,TRUE,FALSE,
Dermanura phaeotis,1,Dermanura phaeotis/Dermanura phaeotis.rds,TRUE,FALSE,
Desmodus rotundus,1,Desmodus rotundus/Desmodus rotundus.rds,TRUE,FALSE,
Didelphis marsupialis,1,Didelphis marsupialis/Didelphis marsupialis.rds,TRUE,FALSE,
Didelphis virginiana,1,Didelphis virginiana/Didelphis virginiana.rds,TRUE,FALSE,
Eidolon helvum,1,Eidolon helvum/Eidolon helvum.rds,TRUE,FALSE,
Enhydra lutris,1,Enhydra lutris/Enhydra lutris.rds,TRUE,FALSE,
Eonycteris spelaea,2,Eonycteris spelaea/Eonycteris spelaea.rds; nipah/wild/Eonycteris spelaea/Eonycteris spelaea.rds,TRUE,TRUE,nipah/wild
Epomophorus pusillus,1,Epomophorus pusillus/Epomophorus pusillus.rds,TRUE,FALSE,
Epomops franqueti,1,Epomops franqueti/Epomops franqueti.rds,TRUE,FALSE,
Eptesicus fuscus,1,Eptesicus fuscus/Eptesicus fuscus.rds,TRUE,FALSE,
Equus asinus,1,Equus asinus/Equus asinus.rds,TRUE,FALSE,
Equus caballus,1,Equus caballus/Equus caballus.rds,TRUE,FALSE,
Equus przewalskii,1,Equus przewalskii/Equus przewalskii.rds,TRUE,FALSE,
Erinaceus amurensis,1,Erinaceus amurensis/Erinaceus amurensis.rds,TRUE,FALSE,
Erinaceus europaeus,1,Erinaceus europaeus/Erinaceus europaeus.rds,TRUE,FALSE,
Erinaceus roumanicus,1,Erinaceus roumanicus/Erinaceus roumanicus.rds,TRUE,FALSE,
Erythrocebus patas,1,Erythrocebus patas/Erythrocebus patas.rds,TRUE,FALSE,
Eulamprus heatwolei,1,Eulamprus heatwolei/Eulamprus heatwolei.rds,TRUE,FALSE,
Eulemur rufus,1,Eulemur rufus/Eulemur rufus.rds,TRUE,FALSE,
Euprepiophis mandarinus,1,Euprepiophis mandarinus/Euprepiophis mandarinus.rds,TRUE,FALSE,
Felis catus,2,Felis catus/Felis catus.rds; nipah/Felis catus/Felis catus.rds,TRUE,TRUE,nipah
Felis nigripes,1,Felis nigripes/Felis nigripes.rds,TRUE,FALSE,
Felis silvestris,1,Felis silvestris/Felis silvestris.rds,TRUE,FALSE,
Funisciurus anerythrus,1,Funisciurus anerythrus/Funisciurus anerythrus.rds,TRUE,FALSE,
Garrulax canorus,1,Garrulax canorus/Garrulax canorus.rds,TRUE,FALSE,
Genetta genetta,1,Genetta genetta/Genetta genetta.rds,TRUE,FALSE,
Giraffa giraffa,1,Giraffa giraffa/Giraffa giraffa.rds,TRUE,FALSE,
Glossophaga soricina,1,Glossophaga soricina/Glossophaga soricina.rds,TRUE,FALSE,
Gorilla beringei,1,Gorilla beringei/Gorilla beringei.rds,TRUE,FALSE,
Gorilla gorilla,1,Gorilla gorilla/Gorilla gorilla.rds,TRUE,FALSE,
Halichoerus grypus,1,Halichoerus grypus/Halichoerus grypus.rds,TRUE,FALSE,
Herpestes ichneumon,1,Herpestes ichneumon/Herpestes ichneumon.rds,TRUE,FALSE,
Heterodon nasicus,1,Heterodon nasicus/Heterodon nasicus.rds,TRUE,FALSE,
Heteromys anomalus,1,Heteromys anomalus/Heteromys anomalus.rds,TRUE,FALSE,
Hipposideros abae,1,Hipposideros abae/Hipposideros abae.rds,TRUE,FALSE,
Hipposideros armiger,1,Hipposideros armiger/Hipposideros armiger.rds,TRUE,FALSE,
Hipposideros caffer,1,Hipposideros caffer/Hipposideros caffer.rds,TRUE,FALSE,
Hipposideros larvatus,2,Hipposideros larvatus/Hipposideros larvatus.rds; nipah/wild/Hipposideros larvatus/Hipposideros larvatus.rds,TRUE,TRUE,nipah/wild
Hoolock hoolock,1,Hoolock hoolock/Hoolock hoolock.rds,TRUE,FALSE,
Hoplocephalus bungaroides,1,Hoplocephalus bungaroides/Hoplocephalus bungaroides.rds,TRUE,FALSE,
Hyaena hyaena,1,Hyaena hyaena/Hyaena hyaena.rds,TRUE,FALSE,
Hydrochoerus hydrochaeris,1,Hydrochoerus hydrochaeris/Hydrochoerus hydrochaeris.rds,TRUE,FALSE,
Hydropotes inermis,1,Hydropotes inermis/Hydropotes inermis.rds,TRUE,FALSE,
Hylobates agilis,1,Hylobates agilis/Hylobates agilis.rds,TRUE,FALSE,
Hylobates albibarbis,1,Hylobates albibarbis/Hylobates albibarbis.rds,TRUE,FALSE,
Hylobates lar,1,Hylobates lar/Hylobates lar.rds,TRUE,FALSE,
Hylobates moloch,1,Hylobates moloch/Hylobates moloch.rds,TRUE,FALSE,
Hylobates pileatus,1,Hylobates pileatus/Hylobates pileatus.rds,TRUE,FALSE,
Hypsignathus monstrosus,1,Hypsignathus monstrosus/Hypsignathus monstrosus.rds,TRUE,FALSE,
Hypsugo savii,1,Hypsugo savii/Hypsugo savii.rds,TRUE,FALSE,
Hystrix cristata,1,Hystrix cristata/Hystrix cristata.rds,TRUE,FALSE,
Ichneumia albicauda,1,Ichneumia albicauda/Ichneumia albicauda.rds,TRUE,FALSE,
Iguana iguana,1,Iguana iguana/Iguana iguana.rds,TRUE,FALSE,
Kerivoula furva,1,Kerivoula furva/Kerivoula furva.rds,TRUE,FALSE,
Lagothrix lagothricha,1,Lagothrix lagothricha/Lagothrix lagothricha.rds,TRUE,FALSE,
Lampropeltis alterna,1,Lampropeltis alterna/Lampropeltis alterna.rds,TRUE,FALSE,
Lampropeltis triangulum,1,Lampropeltis triangulum/Lampropeltis triangulum.rds,TRUE,FALSE,
Larus californicus,1,Larus californicus/Larus californicus.rds,TRUE,FALSE,
Larus hyperboreus,1,Larus hyperboreus/Larus hyperboreus.rds,TRUE,FALSE,
Lasionycteris noctivagans,1,Lasionycteris noctivagans/Lasionycteris noctivagans.rds,TRUE,FALSE,
Lasiopodomys brandtii,1,Lasiopodomys brandtii/Lasiopodomys brandtii.rds,TRUE,FALSE,
Lasiurus borealis,1,Lasiurus borealis/Lasiurus borealis.rds,TRUE,FALSE,
Leopardus geoffroyi,1,Leopardus geoffroyi/Leopardus geoffroyi.rds,TRUE,FALSE,
Leopardus pardalis,1,Leopardus pardalis/Leopardus pardalis.rds,TRUE,FALSE,
Leptailurus serval,1,Leptailurus serval/Leptailurus serval.rds,TRUE,FALSE,
Lepus europaeus,1,Lepus europaeus/Lepus europaeus.rds,TRUE,FALSE,
Lialis burtonis,1,Lialis burtonis/Lialis burtonis.rds,TRUE,FALSE,
