"analysis_unit_id","readiness_disease_name","disease_name","species_name","species_role","sdm_needed_for_disease","host_role_assignment","host_role_confidence","host_role_needs_manual_review","host_role_assignment_status","sdm_available","sdm_species","run_priority","run_status","occurrence_source","occurrence_rows_raw","occurrence_rows_clean","passes_min_points","sdm_output_path","vector_group","vector_taxon_rank","best_evidence_level","best_evidence_basis","vector_record_sources","bites_humans","bites_humans_basis","vector_competence_status","has_disease_vector_evidence","has_host_vector_evidence","uncertainty_reason","host_class","host_family","host_order","host_detection_method","source_pathogens","taxonomy_caution","host_taxonomy_caution","notes","species_name_canonical"
"master_4","Chikungunya fever","Chikungunya fever","aedes aegypti","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",122600,17853,TRUE,"","mosquito","species","confirmed","review","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes aegypti"
"master_4","Chikungunya fever","Chikungunya fever","aedes africanus","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",335,113,TRUE,"","mosquito","species","probable","review","lit_review",TRUE,"blood_meal","",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes africanus"
"master_4","Chikungunya fever","Chikungunya fever","aedes albopictus","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",158579,43925,TRUE,"","mosquito","species","confirmed","review","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes albopictus"
"master_4","Chikungunya fever","Chikungunya fever","aedes fulgens","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",25,3,FALSE,"","mosquito","species","candidate","review","lit_review",,"","competent",TRUE,FALSE,"","","","","","",FALSE,,,"Aedes fulgens"
"master_4","Chikungunya fever","Chikungunya fever","aedes furcifer","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",34,15,FALSE,"","mosquito","species","candidate","review","lit_review",,"","competent",TRUE,FALSE,"","","","","","",FALSE,,,"Aedes furcifer"
"master_4","Chikungunya fever","Chikungunya fever","aedes furcifer taylori","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",5,3,FALSE,"","mosquito","infraspecific","probable","review","lit_review",,"","",TRUE,FALSE,"","","","","","",FALSE,,,"Aedes furcifer taylori"
"master_4","Chikungunya fever","Chikungunya fever","aedes hensilli","vector","yes","","",,"",FALSE,"",1,"not_run","",38,2,FALSE,"","mosquito","species","probable","review","lit_review",,"","unclear",TRUE,FALSE,"no_transmission_demonstrated","","","","","",FALSE,,,"Aedes hensilli"
"master_4","Chikungunya fever","Chikungunya fever","aedes luteocephalus","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",189,41,TRUE,"","mosquito","species","probable","review","lit_review",,"","",TRUE,FALSE,"","","","","","",FALSE,,,"Aedes luteocephalus"
"master_4","Chikungunya fever","Chikungunya fever","aedes notoscriptus","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",3846,1925,TRUE,"","mosquito","species","candidate","lab","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes notoscriptus"
"master_4","Chikungunya fever","Chikungunya fever","aedes procax","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",345,92,TRUE,"","mosquito","species","probable","lab","lit_review",FALSE,"","competent",TRUE,FALSE,"","","","","","",FALSE,,,"Aedes procax"
"master_4","Chikungunya fever","Chikungunya fever","aedes togoi","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",351,57,TRUE,"","mosquito","species","candidate","review","lit_review",,"","",TRUE,FALSE,"","","","","","",FALSE,,,"Aedes togoi"
"master_4","Chikungunya fever","Chikungunya fever","aedes triseriatus","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",21378,2335,TRUE,"","mosquito","species","candidate","review","lit_review",TRUE,"blood_meal","",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes triseriatus"
"master_4","Chikungunya fever","Chikungunya fever","aedes vexans","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",521886,9872,TRUE,"","mosquito","species","candidate","review","lit_review",TRUE,"blood_meal","",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes vexans"
"master_4","Chikungunya fever","Chikungunya fever","aedes vigilax","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",2071,505,TRUE,"","mosquito","species","probable","lab","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes vigilax"
"master_4","Chikungunya fever","Chikungunya fever","aedes vittatus","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",1327,167,TRUE,"","mosquito","species","candidate","review","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"","","","","","",FALSE,,,"Aedes vittatus"
"master_4","Chikungunya fever","Chikungunya fever","coquillettidia linealis","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",465,233,TRUE,"","mosquito","species","probable","lab","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"","","","","","",FALSE,,,"Coquillettidia linealis"
"master_4","Chikungunya fever","Chikungunya fever","culex annulirostris","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",3110,431,TRUE,"","mosquito","species","weak","lab","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"low_competence_or_efficiency","","","","","",FALSE,,,"Culex annulirostris"
"master_4","Chikungunya fever","Chikungunya fever","culex sitiens","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",912,298,TRUE,"","mosquito","species","weak","lab","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"low_competence_or_efficiency","","","","","",FALSE,,,"Culex sitiens"
"master_4","Chikungunya fever","Chikungunya fever","eretmapodites chrysogaster","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",189,67,TRUE,"","mosquito","species","candidate","review","lit_review",,"","competent",TRUE,FALSE,"","","","","","",FALSE,,,"Eretmapodites chrysogaster"
"master_4","Chikungunya fever","Chikungunya fever","opifex fuscus","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",148,24,TRUE,"","mosquito","species","candidate","review","lit_review",,"","competent",TRUE,FALSE,"","","","","","",FALSE,,,"Opifex fuscus"
"master_4","Chikungunya fever","Chikungunya fever","verrallina funerea","vector","yes","","",,"",FALSE,"",1,"occurrences_ready","gbif-download",291,95,TRUE,"","mosquito","species","candidate","lab","lit_review",TRUE,"blood_meal","competent",TRUE,TRUE,"","","","","","",FALSE,,,"Verrallina funerea"
"master_4","Chikungunya fever","Chikungunya fever","Glossophaga mutica","host","no","host_presence_only","low",TRUE,"candidate_only",FALSE,"",2,"not_run","",,,,"","","","","","",,"","",,,"","","","","PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Glossophaga mutica"
"master_4","Chikungunya fever","Chikungunya fever","Homo sapiens","host","no","amplifying_host","high",FALSE,"draft_source_backed",FALSE,"",2,"not_run","",,,,"","","","","","",,"","",,,"","","","","Isolation/Observation; PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Homo sapiens"
"master_4","Chikungunya fever","Chikungunya fever","Molossus nigricans","host","no","host_presence_only","low",TRUE,"candidate_only",FALSE,"",2,"not_run","",,,,"","","","","","",,"","",,,"","","","","PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Molossus nigricans"
"master_4","Chikungunya fever","Chikungunya fever","Mops pumilus","host","no","host_presence_only","low",TRUE,"candidate_only",FALSE,"",2,"not_run","",,,,"","","","","","",,"","",,,"","mammalia","molossidae","chiroptera","Isolation/Observation","Alphavirus chikungunya",,FALSE,,"Mops pumilus"
"master_4","Chikungunya fever","Chikungunya fever","Passer luteus","host","no","host_presence_only","low",TRUE,"candidate_only",FALSE,"",2,"not_run","",,,,"","","","","","",,"","",,,"","aves","passeridae","passeriformes","Isolation/Observation","Alphavirus chikungunya",,FALSE,,"Passer luteus"
"master_4","Chikungunya fever","Chikungunya fever","Xerus erythropus","host","no","host_presence_only","low",TRUE,"candidate_only",FALSE,"",2,"not_run","",,,,"","","","","","",,"","",,,"","mammalia","sciuridae","rodentia","Isolation/Observation","Alphavirus chikungunya",,FALSE,,"Xerus erythropus"
"master_4","Chikungunya fever","Chikungunya fever","Artibeus jamaicensis","host","no","host_presence_only","low",TRUE,"candidate_only",TRUE,"Artibeus jamaicensis",3,"already_available","",,,,"sdms/models/Artibeus jamaicensis","","","","","",,"","",,,"","mammalia","phyllostomidae","chiroptera","PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Artibeus jamaicensis"
"master_4","Chikungunya fever","Chikungunya fever","Chlorocebus aethiops","host","no","host_presence_only","low",TRUE,"candidate_only",TRUE,"Chlorocebus aethiops",3,"already_available","",,,,"sdms/models/Chlorocebus aethiops","","","","","",,"","",,,"","mammalia","cercopithecidae","primates","Isolation/Observation","Alphavirus chikungunya",,FALSE,,"Chlorocebus aethiops"
"master_4","Chikungunya fever","Chikungunya fever","Dermanura phaeotis","host","no","host_presence_only","low",TRUE,"candidate_only",TRUE,"Dermanura phaeotis",3,"already_available","",,,,"sdms/models/Dermanura phaeotis","","","","","",,"","",,,"","mammalia","phyllostomidae","chiroptera","PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Dermanura phaeotis"
"master_4","Chikungunya fever","Chikungunya fever","Erythrocebus patas","host","no","amplifying_host","medium",TRUE,"draft_source_backed",TRUE,"Erythrocebus patas",3,"already_available","",,,,"sdms/models/Erythrocebus patas","","","","","",,"","",,,"","mammalia","cercopithecidae","primates","Isolation/Observation","Alphavirus chikungunya",,FALSE,,"Erythrocebus patas"
"master_4","Chikungunya fever","Chikungunya fever","Hipposideros caffer","host","no","host_presence_only","low",TRUE,"candidate_only",TRUE,"Hipposideros caffer",3,"already_available","",,,,"sdms/models/Hipposideros caffer","","","","","",,"","",,,"","mammalia","hipposideridae","chiroptera","Isolation/Observation","Alphavirus chikungunya",,FALSE,,"Hipposideros caffer"
"master_4","Chikungunya fever","Chikungunya fever","Macaca fascicularis","host","no","host_presence_only","low",TRUE,"candidate_only",TRUE,"Macaca fascicularis",3,"already_available","",,,,"sdms/models/Macaca fascicularis","","","","","",,"","",,,"","mammalia","cercopithecidae","primates","PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Macaca fascicularis"
"master_4","Chikungunya fever","Chikungunya fever","Mus musculus","host","no","host_presence_only","low",TRUE,"candidate_only",TRUE,"Mus musculus",3,"already_available","",,,,"sdms/models/Mus musculus","","","","","",,"","",,,"","mammalia","muridae","rodentia","Isolation/Observation; PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Mus musculus"
"master_4","Chikungunya fever","Chikungunya fever","Papio hamadryas","host","no","host_presence_only","low",TRUE,"candidate_only",TRUE,"Papio hamadryas",3,"already_available","",,,,"sdms/models/Papio hamadryas","","","","","",,"","",,,"","mammalia","cercopithecidae","primates","PCR/Sequencing","Alphavirus chikungunya",,FALSE,,"Papio hamadryas"
