"analysis_unit_id","readiness_disease_name","disease_name","species_name","tax_id","species_role","sdm_needed_for_disease","host_role_assignment","host_role_confidence","host_role_needs_manual_review","host_role_assignment_status","sdm_available","sdm_species","recommended_next_action","readiness_blocker","range_limiting_layer","roster_vector_rows","vector_sdm_species_available","direct_vector_species_or_taxa","direct_vector_confirmed_rows","direct_vector_probable_rows","direct_vector_candidate_rows","direct_vector_competent_rows","direct_vector_transmission_yes_rows","direct_vector_natural_infection_yes_rows","genbank_distinct_countries_or_territories","who_don_distinct_countries","tax_id_vector","vector_group","vector_taxon_rank","vector_join_key","has_disease_vector_evidence","has_host_vector_evidence","has_competence_evidence","best_evidence_level","best_evidence_basis","vector_record_sources","bites_humans","bites_humans_basis","vector_competence_status","transmission_demonstrated","natural_infection_reported","vector_role_hint","uncertainty_reason","taxonomy_caution","species_name_canonical","species_key","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","target_status"
"master_4","Chikungunya fever","Chikungunya fever","Aedes aegypti",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes aegypti",TRUE,TRUE,TRUE,"confirmed","review","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Aedes aegypti","aedes aegypti","pending",1,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes africanus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes africanus",TRUE,TRUE,FALSE,"probable","review","lit_review",TRUE,"blood_meal","","","","","",FALSE,"Aedes africanus","aedes africanus","pending",2,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes albopictus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes albopictus",TRUE,TRUE,TRUE,"confirmed","review","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Aedes albopictus","aedes albopictus","pending",3,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes fulgens",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes fulgens",TRUE,FALSE,TRUE,"candidate","review","lit_review",,"","competent","yes","","","",FALSE,"Aedes fulgens","aedes fulgens","pending",4,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes furcifer",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes furcifer",TRUE,FALSE,TRUE,"candidate","review","lit_review",,"","competent","yes","","sylvatic_vector","",FALSE,"Aedes furcifer","aedes furcifer","pending",5,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes furcifer taylori",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","infraspecific","aedes furcifer taylori",TRUE,FALSE,FALSE,"probable","review","lit_review",,"","","","","","",FALSE,"Aedes furcifer taylori","aedes furcifer taylori","pending",6,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes hensilli",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes hensilli",TRUE,FALSE,TRUE,"probable","review","lit_review",,"","unclear","","no","","no_transmission_demonstrated",FALSE,"Aedes hensilli","aedes hensilli","pending",7,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes luteocephalus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes luteocephalus",TRUE,FALSE,FALSE,"probable","review","lit_review",,"","","","","","",FALSE,"Aedes luteocephalus","aedes luteocephalus","pending",8,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes notoscriptus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes notoscriptus",TRUE,TRUE,TRUE,"candidate","lab","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Aedes notoscriptus","aedes notoscriptus","pending",9,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes procax",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes procax",TRUE,FALSE,TRUE,"probable","lab","lit_review",FALSE,"","competent","yes","","","",FALSE,"Aedes procax","aedes procax","pending",10,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes togoi",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes togoi",TRUE,FALSE,FALSE,"candidate","review","lit_review",,"","","","","","",FALSE,"Aedes togoi","aedes togoi","pending",11,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes triseriatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes triseriatus",TRUE,TRUE,FALSE,"candidate","review","lit_review",TRUE,"blood_meal","","","","","",FALSE,"Aedes triseriatus","aedes triseriatus","pending",12,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes vexans",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes vexans",TRUE,TRUE,FALSE,"candidate","review","lit_review",TRUE,"blood_meal","","","","","",FALSE,"Aedes vexans","aedes vexans","pending",13,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes vigilax",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes vigilax",TRUE,TRUE,TRUE,"probable","lab","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Aedes vigilax","aedes vigilax","pending",14,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Aedes vittatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","aedes vittatus",TRUE,TRUE,TRUE,"candidate","review","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Aedes vittatus","aedes vittatus","pending",15,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Coquillettidia linealis",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","coquillettidia linealis",TRUE,TRUE,TRUE,"probable","lab","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Coquillettidia linealis","coquillettidia linealis","pending",16,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Culex annulirostris",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","culex annulirostris",TRUE,TRUE,TRUE,"weak","lab","lit_review",TRUE,"blood_meal","competent","yes","","","low_competence_or_efficiency",FALSE,"Culex annulirostris","culex annulirostris","pending",17,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Culex sitiens",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","culex sitiens",TRUE,TRUE,TRUE,"weak","lab","lit_review",TRUE,"blood_meal","competent","yes","","","low_competence_or_efficiency",FALSE,"Culex sitiens","culex sitiens","pending",18,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Eretmapodites chrysogaster",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","eretmapodites chrysogaster",TRUE,FALSE,TRUE,"candidate","review","lit_review",,"","competent","yes","","","",FALSE,"Eretmapodites chrysogaster","eretmapodites chrysogaster","pending",19,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Opifex fuscus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","opifex fuscus",TRUE,FALSE,TRUE,"candidate","review","lit_review",,"","competent","yes","","","",FALSE,"Opifex fuscus","opifex fuscus","pending",20,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_4","Chikungunya fever","Chikungunya fever","Verrallina funerea",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",21,0,21,2,7,10,14,14,0,115,6,,"mosquito","species","verrallina funerea",TRUE,TRUE,TRUE,"candidate","lab","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Verrallina funerea","verrallina funerea","pending",21,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Amblyomma lepidum",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","amblyomma lepidum",TRUE,TRUE,TRUE,"candidate","review","lit_review",FALSE,"","unclear","","","","",FALSE,"Amblyomma lepidum","amblyomma lepidum","pending",22,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Amblyomma variegatum",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","amblyomma variegatum",TRUE,TRUE,TRUE,"confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","","","",FALSE,"Amblyomma variegatum","amblyomma variegatum","pending",23,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Dermacentor marginatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","dermacentor marginatus",TRUE,TRUE,TRUE,"candidate","review","lit_review",TRUE,"on_host_occurrence","unclear","","","candidate_vector","limited_or_indirect_support",FALSE,"Dermacentor marginatus","dermacentor marginatus","pending",24,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Dermacentor niveus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","dermacentor niveus",TRUE,TRUE,FALSE,"candidate","review","lit_review",TRUE,"on_host_occurrence","","","","","",FALSE,"Dermacentor niveus","dermacentor niveus","pending",25,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Dermacentor nuttalli",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","dermacentor nuttalli",TRUE,TRUE,TRUE,"candidate","review","lit_review",FALSE,"","unclear","","","candidate_vector","",FALSE,"Dermacentor nuttalli","dermacentor nuttalli","pending",26,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Haemaphysalis concinna",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","haemaphysalis concinna",TRUE,TRUE,FALSE,"candidate","review","lit_review",TRUE,"on_host_occurrence","","","","","",FALSE,"Haemaphysalis concinna","haemaphysalis concinna","pending",27,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Haemaphysalis inermis",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","haemaphysalis inermis",TRUE,FALSE,FALSE,"candidate","review","lit_review",,"","","","","","",FALSE,"Haemaphysalis inermis","haemaphysalis inermis","pending",28,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Haemaphysalis parva",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","haemaphysalis parva",TRUE,TRUE,FALSE,"candidate","review","lit_review",TRUE,"on_host_occurrence","","","","","",FALSE,"Haemaphysalis parva","haemaphysalis parva","pending",29,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Haemaphysalis punctata",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","haemaphysalis punctata",TRUE,TRUE,TRUE,"candidate","review","lit_review",TRUE,"on_host_occurrence","unclear","","","candidate_vector","field_detection_only",FALSE,"Haemaphysalis punctata","haemaphysalis punctata","pending",30,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Haemaphysalis sulcata",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","haemaphysalis sulcata",TRUE,TRUE,FALSE,"candidate","review","lit_review",TRUE,"on_host_occurrence","","","","","",FALSE,"Haemaphysalis sulcata","haemaphysalis sulcata","pending",31,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Hyalomma aegyptium",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","hyalomma aegyptium",TRUE,TRUE,TRUE,"confirmed","review","EFSA; lit_review",TRUE,"on_host_occurrence","competent","","","","field_detection_only",FALSE,"Hyalomma aegyptium","hyalomma aegyptium","pending",32,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Hyalomma anatolicum",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","hyalomma anatolicum",TRUE,TRUE,TRUE,"confirmed","review","EFSA; lit_review",TRUE,"on_host_occurrence","competent","","","candidate_vector|primary_vector","",FALSE,"Hyalomma anatolicum","hyalomma anatolicum","pending",33,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Hyalomma asiaticum",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","hyalomma asiaticum",TRUE,FALSE,TRUE,"confirmed","review","EFSA; lit_review",,"","competent","","","primary_vector","",FALSE,"Hyalomma asiaticum","hyalomma asiaticum","pending",34,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Hyalomma asiaticum kozlovi",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","infraspecific","hyalomma asiaticum kozlovi",TRUE,FALSE,FALSE,"confirmed","review","lit_review",,"","","","","","",FALSE,"Hyalomma asiaticum kozlovi","hyalomma asiaticum kozlovi","pending",35,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Hyalomma detritum",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","hyalomma detritum",TRUE,FALSE,FALSE,"confirmed","review","lit_review",,"","","","","","",FALSE,"Hyalomma detritum","hyalomma detritum","pending",36,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Hyalomma dromedarii",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","hyalomma dromedarii",TRUE,TRUE,TRUE,"confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","","candidate_vector|primary_vector","field_detection_only",FALSE,"Hyalomma dromedarii","hyalomma dromedarii","pending",37,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_7","Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","Hyalomma excavatum",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",49,0,49,16,4,29,14,2,1,53,3,,"tick","species","hyalomma excavatum",TRUE,TRUE,TRUE,"confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","","candidate_vector","",FALSE,"Hyalomma excavatum","hyalomma excavatum","pending",38,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
