"species_name","species_name_canonical","species_role","sdm_needed_for_disease","sdm_available","sdm_species","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","disease_count","disease_names","analysis_unit_ids","tax_ids","vector_group","vector_taxon_rank","best_evidence_level","best_evidence_basis","vector_record_sources","bites_humans","bites_humans_basis","vector_competence_status","transmission_demonstrated","natural_infection_reported","uncertainty_reason","taxonomy_caution","occurrence_status","occurrence_rows_raw","occurrence_rows_clean","passes_min_points","gbif_occurrence_path","local_occurrence_path","combined_occurrence_path","model_status","model_output_path","notes"
"Aedes albopictus","Aedes albopictus","vector","yes",FALSE,,"occurrences_ready",1,"combined","gbif-download",1970,2026,20,6,"Chikungunya fever; Dengue; Rift Valley fever; West Nile fever; Yellow fever; Zika virus disease","master_2; master_3; master_4; master_5; master_6; master_8",,"mosquito","species","confirmed","lab; lab; review; review","EFSA; lit_review; EFSA; lit_review; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","mixed_or_debated_evidence|temperature_dependent; temperature_dependent",FALSE,"cleaned",197307,45169,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_albopictus/combined/cleaned/Aedes_albopictus_cleaned.csv","not_run",,
"Aedes aegypti","Aedes aegypti","vector","yes",FALSE,,"occurrences_ready",2,"combined","gbif-download",1970,2026,20,5,"Chikungunya fever; Dengue; Rift Valley fever; Yellow fever; Zika virus disease","master_2; master_3; master_4; master_5; master_8",,"mosquito","species","confirmed","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","field_detection_only|low_competence_or_efficiency|no_transmission_demonstrated; mixed_or_debated_evidence|population_dependent|strain_dependent; temperature_dependent",FALSE,"cleaned",122600,17853,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_aegypti/combined/cleaned/Aedes_aegypti_cleaned.csv","not_run",,
"Amblyomma variegatum","Amblyomma variegatum","vector","yes",FALSE,,"occurrences_ready",3,"combined","gbif-download",1970,2026,20,2,"Crimean-Congo hemorrhagic fever; Rift Valley fever","master_7; master_8",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","yes","field_detection_only",FALSE,"cleaned",145,59,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Amblyomma_variegatum/combined/cleaned/Amblyomma_variegatum_cleaned.csv","not_run",,
"Culex modestus","Culex modestus","vector","yes",FALSE,,"occurrences_ready",4,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","confirmed","review","EFSA; lit_review",TRUE,"blood_meal","competent","yes","","field_detection_only",FALSE,"cleaned",1642,670,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_modestus/combined/cleaned/Culex_modestus_cleaned.csv","not_run",,
"Culex perexiguus","Culex perexiguus","vector","yes",FALSE,,"occurrences_ready",5,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","confirmed","review","lit_review",TRUE,"blood_meal","competent","yes","","field_detection_only",FALSE,"cleaned",743,338,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_perexiguus/combined/cleaned/Culex_perexiguus_cleaned.csv","not_run",,
"Haemagogus janthinomys","Haemagogus janthinomys","vector","yes",FALSE,,"occurrences_ready",6,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","field","lit_review",TRUE,"blood_meal","competent","yes","yes","",FALSE,"cleaned",349,116,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Haemagogus_janthinomys/combined/cleaned/Haemagogus_janthinomys_cleaned.csv","not_run",,
"Haemagogus leucocelaenus","Haemagogus leucocelaenus","vector","yes",FALSE,,"occurrences_ready",7,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","field","lit_review",TRUE,"blood_meal","competent","yes","yes","",FALSE,"cleaned",137,47,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Haemagogus_leucocelaenus/combined/cleaned/Haemagogus_leucocelaenus_cleaned.csv","not_run",,
"Hyalomma aegyptium","Hyalomma aegyptium","vector","yes",FALSE,,"occurrences_ready",8,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","EFSA; lit_review",TRUE,"on_host_occurrence","competent","","","field_detection_only",FALSE,"cleaned",182,140,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_aegyptium/combined/cleaned/Hyalomma_aegyptium_cleaned.csv","not_run",,
"Hyalomma anatolicum","Hyalomma anatolicum","vector","yes",FALSE,,"occurrences_ready",9,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","EFSA; lit_review",TRUE,"on_host_occurrence","competent","","","",FALSE,"cleaned_below_min_points",23,16,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_anatolicum/combined/cleaned/Hyalomma_anatolicum_cleaned.csv","not_run",,
"Hyalomma dromedarii","Hyalomma dromedarii","vector","yes",FALSE,,"occurrences_ready",10,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","","field_detection_only",FALSE,"cleaned",74,36,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_dromedarii/combined/cleaned/Hyalomma_dromedarii_cleaned.csv","not_run",,
